,$f_{1}$,$f_{2}$,$f_{3}$,$f_{4}$,$f_{5}$,$f_{6}$,$f_{7}$,$f_{8}$,$f_{9}$,$f_{10}$,$f_{11}$,$f_{12}$,$f_{13}$,$f_{14}$,$f_{15}$,$f_{16}$,$f_{17}$,$f_{18}$,$f_{19}$,$f_{20}$,$f_{21}$,$f_{22}$,$f_{23}$,$f_{24}$
$m_{1}$,0.42,0.00,0.08,0.05,0.40,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.15,0.23,0.16,0.41,0.41,0.26,0.61,0.00,0.36,0.51,0.35,0.41
$m_{2}$,0.43,0.01,0.08,0.07,0.40,0.00,0.14,0.01,0.01,0.01,0.00,0.00,0.24,0.24,0.17,0.41,0.41,0.26,0.61,0.00,0.37,0.51,0.35,0.42
$m_{3}$,0.42,0.00,0.06,0.04,0.40,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.11,0.23,0.14,0.40,0.41,0.25,0.61,0.00,0.36,0.51,0.35,0.38
$m_{4}$,0.51,0.05,0.13,0.11,0.52,0.09,0.23,0.11,0.13,0.04,0.00,0.01,0.46,0.28,0.25,0.41,0.41,0.27,0.62,0.10,0.42,0.54,0.35,0.56
$m_{5}$,0.50,0.04,0.13,0.11,0.51,0.08,0.22,0.09,0.08,0.04,0.00,0.01,0.45,0.28,0.24,0.41,0.41,0.27,0.62,0.08,0.42,0.54,0.35,0.53
$m_{6}$,0.49,0.04,0.13,0.11,0.51,0.08,0.22,0.08,0.11,0.04,0.00,0.01,0.44,0.28,0.24,0.41,0.41,0.27,0.62,0.08,0.42,0.54,0.35,0.54
$m_{7}$,0.49,0.03,0.12,0.10,0.51,0.06,0.21,0.07,0.08,0.03,0.00,0.01,0.42,0.27,0.23,0.41,0.41,0.27,0.62,0.06,0.42,0.54,0.35,0.52
$m_{8}$,0.52,0.05,0.14,0.12,0.53,0.11,0.24,0.13,0.17,0.05,0.00,0.01,0.48,0.29,0.26,0.41,0.41,0.27,0.62,0.12,0.42,0.54,0.35,0.58
$m_{9}$,0.51,0.05,0.14,0.12,0.52,0.10,0.24,0.11,0.14,0.04,0.00,0.01,0.47,0.29,0.25,0.41,0.41,0.27,0.62,0.11,0.42,0.54,0.35,0.57
$m_{10}$,0.44,0.01,0.08,0.06,0.40,0.00,0.18,0.02,0.04,0.02,0.00,0.00,0.30,0.26,0.21,0.41,0.41,0.27,0.62,0.02,0.38,0.52,0.35,0.56
$m_{11}$,0.43,0.00,0.11,0.10,0.42,0.00,0.20,0.00,0.01,0.00,0.00,0.00,0.20,0.24,0.22,0.42,0.41,0.27,0.63,0.00,0.36,0.51,0.35,0.58
$m_{12}$,0.52,0.07,0.16,0.12,0.56,0.17,0.26,0.12,0.08,0.06,0.00,0.01,0.50,0.31,0.29,0.41,0.42,0.28,0.62,0.09,0.42,0.54,0.35,0.56
$m_{13}$,0.54,0.07,0.16,0.13,0.55,0.17,0.27,0.18,0.20,0.06,0.00,0.01,0.52,0.30,0.28,0.41,0.42,0.28,0.62,0.16,0.43,0.54,0.35,0.61
