,$f_{1}$,$f_{2}$,$f_{3}$,$f_{4}$,$f_{5}$,$f_{6}$,$f_{7}$,$f_{8}$,$f_{9}$,$f_{10}$,$f_{11}$,$f_{12}$,$f_{13}$,$f_{14}$,$f_{15}$,$f_{16}$,$f_{17}$,$f_{18}$,$f_{19}$,$f_{20}$,$f_{21}$,$f_{22}$,$f_{23}$,$f_{24}$
$m_{1}$,0.42,0.00,0.07,0.04,0.38,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.11,0.23,0.15,0.41,0.40,0.25,0.61,0.00,0.36,0.51,0.35,0.38
$m_{2}$,0.43,0.01,0.08,0.06,0.39,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.22,0.24,0.16,0.41,0.41,0.26,0.61,0.00,0.37,0.51,0.35,0.40
$m_{3}$,0.42,0.00,0.06,0.04,0.40,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.11,0.23,0.13,0.39,0.41,0.25,0.61,0.00,0.36,0.51,0.35,0.36
$m_{4}$,0.49,0.03,0.12,0.10,0.49,0.05,0.21,0.07,0.10,0.03,0.00,0.01,0.41,0.27,0.22,0.41,0.41,0.27,0.62,0.07,0.42,0.53,0.35,0.53
$m_{5}$,0.48,0.03,0.11,0.10,0.48,0.04,0.20,0.06,0.06,0.03,0.00,0.00,0.39,0.27,0.22,0.41,0.41,0.27,0.62,0.05,0.42,0.53,0.35,0.50
$m_{6}$,0.47,0.02,0.11,0.10,0.47,0.03,0.20,0.05,0.09,0.03,0.00,0.00,0.39,0.27,0.21,0.41,0.41,0.27,0.62,0.05,0.42,0.53,0.35,0.52
$m_{7}$,0.46,0.02,0.10,0.09,0.47,0.02,0.19,0.04,0.05,0.03,0.00,0.00,0.36,0.26,0.20,0.41,0.41,0.27,0.62,0.03,0.41,0.53,0.35,0.49
$m_{8}$,0.50,0.04,0.13,0.11,0.50,0.07,0.22,0.09,0.15,0.04,0.00,0.01,0.45,0.28,0.24,0.41,0.41,0.27,0.62,0.10,0.42,0.54,0.35,0.56
$m_{9}$,0.49,0.04,0.12,0.11,0.49,0.06,0.21,0.09,0.12,0.04,0.00,0.01,0.43,0.28,0.23,0.41,0.41,0.27,0.62,0.08,0.42,0.54,0.35,0.55
$m_{10}$,0.42,0.00,0.06,0.04,0.38,0.00,0.15,0.00,0.01,0.01,0.00,0.00,0.21,0.24,0.19,0.40,0.41,0.27,0.62,0.00,0.37,0.51,0.35,0.50
$m_{11}$,0.42,0.00,0.14,0.12,0.43,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.11,0.23,0.27,0.42,0.42,0.28,0.63,0.00,0.36,0.51,0.35,0.61
$m_{12}$,0.57,0.16,0.19,0.15,0.59,0.29,0.34,0.22,0.17,0.13,0.01,0.02,0.58,0.34,0.34,0.41,0.42,0.29,0.62,0.21,0.43,0.54,0.35,0.63
$m_{13}$,0.54,0.07,0.16,0.13,0.55,0.17,0.27,0.18,0.19,0.06,0.00,0.01,0.52,0.30,0.28,0.41,0.42,0.28,0.62,0.16,0.43,0.54,0.35,0.61
